Start: 2024-03-14T14:04:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 10.0%    10    5.7   6.3   4.8   9.4   1.3
  2.|-- 197.243.109.57             0.0%    10    6.8   7.8   6.5   9.1   0.9
  3.|-- 10.255.254.24              0.0%    10    6.8   7.9   5.1  10.9   1.8
  4.|-- 197.243.126.123            0.0%    10    5.1   8.5   5.1  15.9   3.6
  5.|-- 197.243.126.122            0.0%    10   29.9   9.0   5.0  29.9   7.4
  6.|-- 72.14.242.254              0.0%    10   41.2  30.3  24.1  48.0   8.0
  7.|-- 172.253.53.49              0.0%    10   57.3  31.8  27.3  57.3   9.1
  8.|-- 216.239.63.239             0.0%    10   32.2  27.4  24.7  33.1   3.0
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   27.2  32.2  25.1  76.2  15.6
Start: 2024-03-14T14:38:07+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 10.0%    10    6.9   9.4   6.1  18.8   3.8
  2.|-- 197.243.109.57             0.0%    10    6.8   9.6   5.6  18.1   3.6
  3.|-- 10.255.254.24              0.0%    10    6.7   7.6   5.5  12.6   2.3
  4.|-- 197.243.126.123            0.0%    10   70.1  21.5   7.5  70.1  21.4
  5.|-- 197.243.126.122            0.0%    10   31.9  16.3   7.3  31.9   9.1
  6.|-- 72.14.242.254              0.0%    10   40.4  29.7  24.8  40.4   5.2
  7.|-- 172.253.53.49              0.0%    10   32.8  29.1  27.2  34.1   2.4
  8.|-- 216.239.63.239             0.0%    10   33.5  29.3  25.7  47.9   6.9
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   41.8  28.6  23.7  41.8   6.1
Start: 2024-03-14T14:40:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    8.0   8.5   5.7  17.7   3.4
  2.|-- 197.243.109.57             0.0%    10    7.6   9.5   5.5  17.8   4.6
  3.|-- 10.255.254.24              0.0%    10    9.3   8.3   6.5  10.8   1.3
  4.|-- 197.243.126.123            0.0%    10   10.7  11.8   4.8  35.7   8.7
  5.|-- 197.243.126.122            0.0%    10    7.5  16.5   7.1  31.7  10.5
  6.|-- 72.14.242.254              0.0%    10   30.9  30.2  24.8  51.8   7.8
  7.|-- 172.253.53.49              0.0%    10   29.0  30.8  26.0  41.0   4.4
  8.|-- 216.239.63.239             0.0%    10   25.0  29.4  24.4  50.5   8.0
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   27.9  35.2  24.5  79.7  17.4
Start: 2024-03-14T14:42:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 30.0%    10    8.6   8.1   7.4   9.0   0.7
  2.|-- 197.243.109.57             0.0%    10    7.7  11.5   6.1  35.1   8.8
  3.|-- 10.255.254.24              0.0%    10   18.1  11.5   6.8  18.1   3.9
