Running mtr for IP:197.243.22.13 site:irembo.gov.rw country: RW, Rwanda. date:2024-03-25_08-04am
Start: 2024-03-25T08:04:42+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    4.7  14.8   4.7  91.0  26.8
  2.|-- 41.216.98.177              0.0%    10    6.5  10.0   5.3  35.4   9.0
  3.|-- xe-0-4-0.std.rw.liquidtel  0.0%    10    7.3   6.4   5.3   7.4   0.8
  4.|-- xe-0-0-2-0.pe1.rw.liquidt  0.0%    10    4.7   6.6   4.7  12.3   2.4
  5.|-- 41.215.251.17              0.0%    10    8.2   8.5   6.0  18.7   3.8
  6.|-- 197.243.126.30             0.0%    10    7.6   8.8   6.5  16.2   2.8
  7.|-- 192.168.1.246              0.0%    10    9.3   8.7   6.0  15.2   2.7
  8.|-- 192.168.1.238              0.0%    10    7.5   6.4   4.7   8.6   1.1
  9.|-- ???                       100.0    10    0.0   0.0   0.0   0.0   0.0
Running mtr for IP:197.241.17.172 site:ministere-finances.dj country: DJ, Djibouti. date:2024-03-25_08-04am
Start: 2024-03-25T08:05:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    7.3   6.6   3.6   9.3   1.9
  2.|-- 41.216.98.177              0.0%    10    8.5   9.1   4.9  14.6   3.3
  3.|-- xe-0-4-0.std.rw.liquidtel  0.0%    10    7.8   7.9   6.2   9.8   1.0
  4.|-- xe-0-0-2-0.pe1.rw.liquidt  0.0%    10    8.3  10.1   7.0  24.5   5.3
  5.|-- et0-1-0-kcr-p01.rw.liquid  0.0%    10   95.1  95.9  92.1 106.8   4.0
  6.|-- 41.216.104.122             0.0%    10   97.7  98.7  95.7 101.1   1.7
  7.|-- xe-1-1-0-2.lke-p1-nbi.liq  0.0%    10   95.0  93.5  90.3  95.0   1.6
  8.|-- 197.155.90.253.liquidtele  0.0%    10   97.6  99.5  95.5 111.8   4.8
  9.|-- 41.175.223.182             0.0%    10   94.4  94.2  92.3  96.7   1.4
 10.|-- 41.175.223.180             0.0%    10   97.5  97.1  94.3 100.5   1.9
 11.|-- ???                       100.0    10    0.0   0.0   0.0   0.0   0.0
 12.|-- be3268.rcr21.opo01.atlas.  0.0%    10  214.9 228.4 213.9 289.0  24.2
 13.|-- be2313.ccr31.bio02.atlas.  0.0%    10  223.3 225.6 222.7 227.8   1.7
 14.|-- be3077.ccr31.mrs02.atlas.  0.0%    10  237.1 237.2 235.0 240.6   2.0
 15.|-- 149.11.240.189             0.0%    10  261.8 263.5 261.0 267.2   2.0
 16.|-- 41.189.226.245             0.0%    10  312.1 304.6 301.6 312.1   2.9
 17.|-- ???                       100.0    10    0.0   0.0   0.0   0.0   0.0
 18.|-- www.camme.dj               0.0%    10  302.5 302.7 301.4 303.6   0.7
