Country,Site,DateTime,IP for the site,Path-Avg_latency
MA,iam.ma,2025-08-05T15:00:02Z,81.192.44.66,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""81.192.44.66"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.09,
      ""Avg"": 0.20,
      ""Best"": 0.09,
      ""Wrst"": 0.37,
      ""StDev"": 0.13
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,consulat.ma,2025-08-05T15:00:02Z,194.204.218.9,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""194.204.218.9"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.38,
      ""Avg"": 0.16,
      ""Best"": 0.09,
      ""Wrst"": 0.38,
      ""StDev"": 0.12
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,eshop.ma,2025-08-05T15:00:02Z,102.53.2.60,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""102.53.2.60"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.13,
      ""Avg"": 0.19,
      ""Best"": 0.13,
      ""Wrst"": 0.35,
      ""StDev"": 0.09
    },
    {
      ""count"": ""2"",
      ""host"": ""102.53.2.60"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 207.83,
      ""Avg"": 228.33,
      ""Best"": 207.45,
      ""Wrst"": 303.15,
      ""StDev"": 41.90
    }]
  }
}"
TN,ati.tn,2025-08-05T15:00:02Z,197.10.242.55,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""197.10.242.55"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.11,
      ""Avg"": 0.12,
      ""Best"": 0.07,
      ""Wrst"": 0.21,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""197.10.242.55"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 185.14,
      ""Avg"": 182.14,
      ""Best"": 178.41,
      ""Wrst"": 187.17,
      ""StDev"": 3.93
    }]
  }
}"
TN,finances.gov.tn,2025-08-05T15:00:02Z,193.95.68.142,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""193.95.68.142"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.34,
      ""Avg"": 0.17,
      ""Best"": 0.09,
      ""Wrst"": 0.34,
      ""StDev"": 0.10
    },
    {
      ""count"": ""2"",
      ""host"": ""193.95.68.142"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 182.56,
      ""Avg"": 190.33,
      ""Best"": 182.56,
      ""Wrst"": 216.79,
      ""StDev"": 14.82
    }]
  }
}"
TN,int.com.tn,2025-08-05T15:00:02Z,196.203.251.39,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""196.203.251.39"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.13,
      ""Best"": 0.10,
      ""Wrst"": 0.18,
      ""StDev"": 0.03
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,te.eg,2025-08-05T15:00:02Z,213.158.188.59,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""213.158.188.59"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.15,
      ""Best"": 0.07,
      ""Wrst"": 0.37,
      ""StDev"": 0.12
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,international-eg.net,2025-08-05T15:00:02Z,213.158.170.98,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""213.158.170.98"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.14,
      ""Avg"": 0.10,
      ""Best"": 0.04,
      ""Wrst"": 0.14,
      ""StDev"": 0.04
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,cairofair.com,2025-08-05T15:00:02Z,213.158.170.101,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""213.158.170.101"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.12,
      ""Avg"": 0.15,
      ""Best"": 0.12,
      ""Wrst"": 0.20,
      ""StDev"": 0.03
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
ZA,tenet.ac.za,2025-08-05T15:00:02Z,155.232.92.31,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""155.232.92.31"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.17,
      ""Avg"": 0.17,
      ""Best"": 0.11,
      ""Wrst"": 0.24,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""155.232.92.31"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 100.47,
      ""Avg"": 98.82,
      ""Best"": 96.37,
      ""Wrst"": 100.47,
      ""StDev"": 1.83
    }]
  }
}"
ZA,maties.com,2025-08-05T15:00:02Z,146.232.66.100,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""146.232.66.100"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.21,
      ""Avg"": 0.19,
      ""Best"": 0.10,
      ""Wrst"": 0.27,
      ""StDev"": 0.06
    },
    {
      ""count"": ""2"",
      ""host"": ""146.232.66.100"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 94.47,
      ""Avg"": 95.92,
      ""Best"": 93.80,
      ""Wrst"": 99.45,
      ""StDev"": 2.19
    }]
  }
}"
ZA,csir.co.za ,2025-08-05T15:00:02Z,146.64.81.114,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""aced0f2bcbd7"",
      ""dst"": ""146.64.81.114"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.16,
      ""Avg"": 0.18,
      ""Best"": 0.07,
      ""Wrst"": 0.34,
      ""StDev"": 0.10
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
