Country,Site,DateTime,IP for the site,Path-Avg_latency
MA,iam.ma,2025-08-07T09:31:33Z,81.192.44.66,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""81.192.44.66"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.12,
      ""Avg"": 0.16,
      ""Best"": 0.11,
      ""Wrst"": 0.28,
      ""StDev"": 0.07
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,consulat.ma,2025-08-07T09:31:33Z,194.204.218.9,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""194.204.218.9"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.23,
      ""Avg"": 0.19,
      ""Best"": 0.10,
      ""Wrst"": 0.36,
      ""StDev"": 0.11
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,eshop.ma,2025-08-07T09:31:33Z,102.53.2.60,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""102.53.2.60"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.29,
      ""Avg"": 0.15,
      ""Best"": 0.06,
      ""Wrst"": 0.29,
      ""StDev"": 0.11
    },
    {
      ""count"": ""2"",
      ""host"": ""102.53.2.60"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 194.75,
      ""Avg"": 196.34,
      ""Best"": 193.72,
      ""Wrst"": 199.16,
      ""StDev"": 2.17
    }]
  }
}"
TN,ati.tn,2025-08-07T09:31:33Z,197.10.242.55,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""197.10.242.55"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.15,
      ""Avg"": 0.24,
      ""Best"": 0.12,
      ""Wrst"": 0.66,
      ""StDev"": 0.23
    },
    {
      ""count"": ""2"",
      ""host"": ""197.10.242.55"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 170.84,
      ""Avg"": 172.77,
      ""Best"": 170.00,
      ""Wrst"": 176.80,
      ""StDev"": 2.64
    }]
  }
}"
TN,finances.gov.tn,2025-08-07T09:31:33Z,193.95.68.142,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""193.95.68.142"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.08,
      ""Avg"": 0.13,
      ""Best"": 0.08,
      ""Wrst"": 0.18,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""193.95.68.142"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 175.50,
      ""Avg"": 179.82,
      ""Best"": 172.29,
      ""Wrst"": 198.97,
      ""StDev"": 10.88
    }]
  }
}"
TN,int.com.tn,2025-08-07T09:31:33Z,196.203.251.39,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""196.203.251.39"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.27,
      ""Avg"": 0.20,
      ""Best"": 0.15,
      ""Wrst"": 0.27,
      ""StDev"": 0.06
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,te.eg,2025-08-07T09:31:33Z,213.158.188.59,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.188.59"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.14,
      ""Best"": 0.08,
      ""Wrst"": 0.30,
      ""StDev"": 0.09
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,international-eg.net,2025-08-07T09:31:33Z,213.158.170.98,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.170.98"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.17,
      ""Best"": 0.06,
      ""Wrst"": 0.49,
      ""StDev"": 0.18
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,cairofair.com,2025-08-07T09:31:33Z,213.158.170.101,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.170.101"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.12,
      ""Avg"": 0.15,
      ""Best"": 0.12,
      ""Wrst"": 0.19,
      ""StDev"": 0.04
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
ZA,tenet.ac.za,2025-08-07T09:31:33Z,155.232.92.31,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""155.232.92.31"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.13,
      ""Avg"": 0.15,
      ""Best"": 0.09,
      ""Wrst"": 0.33,
      ""StDev"": 0.10
    },
    {
      ""count"": ""2"",
      ""host"": ""155.232.92.31"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 95.54,
      ""Avg"": 96.85,
      ""Best"": 95.54,
      ""Wrst"": 97.92,
      ""StDev"": 0.95
    }]
  }
}"
