Country,Site,DateTime,IP for the site,Path-Avg_latency
MA,iam.ma,2025-08-07T14:00:04Z,81.192.44.66,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""81.192.44.66"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.25,
      ""Best"": 0.09,
      ""Wrst"": 0.58,
      ""StDev"": 0.21
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,consulat.ma,2025-08-07T14:00:04Z,194.204.218.9,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""194.204.218.9"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.10,
      ""Avg"": 0.10,
      ""Best"": 0.02,
      ""Wrst"": 0.15,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
MA,eshop.ma,2025-08-07T14:00:04Z,102.53.2.60,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""102.53.2.60"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.12,
      ""Avg"": 0.15,
      ""Best"": 0.12,
      ""Wrst"": 0.21,
      ""StDev"": 0.04
    },
    {
      ""count"": ""2"",
      ""host"": ""102.53.2.60"",
      ""Loss%"": 40.00,
      ""Snt"": 5,
      ""Last"": 198.25,
      ""Avg"": 199.19,
      ""Best"": 198.25,
      ""Wrst"": 200.55,
      ""StDev"": 1.20
    }]
  }
}"
TN,ati.tn,2025-08-07T14:00:04Z,197.10.242.55,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""197.10.242.55"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.17,
      ""Avg"": 0.10,
      ""Best"": 0.06,
      ""Wrst"": 0.17,
      ""StDev"": 0.04
    },
    {
      ""count"": ""2"",
      ""host"": ""197.10.242.55"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 176.41,
      ""Avg"": 175.20,
      ""Best"": 173.67,
      ""Wrst"": 176.43,
      ""StDev"": 1.28
    }]
  }
}"
TN,finances.gov.tn,2025-08-07T14:00:04Z,193.95.68.142,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""193.95.68.142"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.17,
      ""Avg"": 0.14,
      ""Best"": 0.06,
      ""Wrst"": 0.19,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""193.95.68.142"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 170.94,
      ""Avg"": 172.92,
      ""Best"": 170.94,
      ""Wrst"": 174.42,
      ""StDev"": 1.62
    }]
  }
}"
TN,int.com.tn,2025-08-07T14:00:04Z,196.203.251.39,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""196.203.251.39"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.20,
      ""Avg"": 0.17,
      ""Best"": 0.11,
      ""Wrst"": 0.24,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,te.eg,2025-08-07T14:00:04Z,213.158.188.59,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.188.59"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.21,
      ""Avg"": 0.24,
      ""Best"": 0.18,
      ""Wrst"": 0.38,
      ""StDev"": 0.08
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,international-eg.net,2025-08-07T14:00:04Z,213.158.170.98,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.170.98"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.16,
      ""Avg"": 0.14,
      ""Best"": 0.05,
      ""Wrst"": 0.21,
      ""StDev"": 0.06
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
EG,cairofair.com,2025-08-07T14:00:04Z,213.158.170.101,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""213.158.170.101"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.09,
      ""Avg"": 0.11,
      ""Best"": 0.07,
      ""Wrst"": 0.14,
      ""StDev"": 0.03
    },
    {
      ""count"": ""2"",
      ""host"": ""???"",
      ""Loss%"": 100.00,
      ""Snt"": 5,
      ""Last"": 0.00,
      ""Avg"": 0.00,
      ""Best"": 0.00,
      ""Wrst"": 0.00,
      ""StDev"": 0.00
    }]
  }
}"
ZA,tenet.ac.za,2025-08-07T14:00:04Z,155.232.92.31,"{
  ""report"": {
    ""mtr"": {
      ""src"": ""d290c2f3922e"",
      ""dst"": ""155.232.92.31"",
      ""tos"": ""0x0"",
      ""psize"": ""64"",
      ""bitpattern"": ""0x00"",
      ""tests"": ""5""
    },
    ""hubs"": [{
      ""count"": ""1"",
      ""host"": ""172.17.0.1"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 0.18,
      ""Avg"": 0.09,
      ""Best"": 0.05,
      ""Wrst"": 0.18,
      ""StDev"": 0.05
    },
    {
      ""count"": ""2"",
      ""host"": ""155.232.92.31"",
      ""Loss%"": 0.00,
      ""Snt"": 5,
      ""Last"": 89.41,
      ""Avg"": 93.08,
      ""Best"": 88.83,
      ""Wrst"": 101.49,
      ""StDev"": 5.10
    }]
  }
}"
